2023-01-11 15:51:43,logica,1,0,1
2023-01-11 15:51:43,logica,1,0,1
2023-01-11 17:27:14,Anime,0,3,-3
2023-01-11 17:59:21,python,1,0,1
2023-01-11 18:31:10,python,1,0,1
2023-01-11 18:56:16,python ,1,0,1
2023-01-11 21:16:16,ASC-curs,1 ,0,1
2023-01-11 22:06:21,ASC,1,0,1
2023-01-11 22:30:56,ASC,1,0,1
2023-01-11 23:00:31,logica,1,0,1
2023-01-11 23:26:04,logica,1,0,1
2023-01-12 00:06:41,logica,1,0,1
2023-01-12 17:23:52,python,4,0,4
2023-01-12 17:24:00,asm,1,0,1
2023-01-12 17:53:20,asm,1,0,1
2023-01-12 18:18:15,asm,1,0,1
2023-01-12 18:55:43,asc curs,1,0,1
2023-01-12 20:43:07,asc curs,1,0,1
2023-01-12 22:40:25,asc seminar,1,0,1
2023-01-12 22:40:25,asc seminar,1,0,1
2023-01-12 23:10:39,logica,1,0,1
2023-01-12 23:35:37,logica,1,0,1
2023-01-12 23:51:05,logica,1,0,1
2023-01-13 14:16:37,Anime si clatite,0,10,-10
2023-01-13 16:34:03,python,4,0,4
2023-01-13 17:44:11,python,1,0,1
2023-01-13 18:03:42,python ,1,0,1
2023-01-13 18:31:25,asm,1,0,1
2023-01-13 19:00:27,asm,1,0,1
2023-01-13 20:29:02,asm,1,0,1
2023-01-13 20:58:05,asc,1,0,1
2023-01-13 21:28:30,asc,1,0,1
2023-01-13 21:54:05,asc,1,0,1
2023-01-13 23:00:28,logia,1,0,1
2023-01-14 13:21:16,asc seminar,1,0,1
2023-01-14 14:34:57,asc seminar,1,0,1
2023-01-14 15:17:46,asc seminar,1,0,1
2023-01-14 15:43:01,asc seminar,1,0,1
2023-01-14 16:00:11,asc seminar,1,0,1
2023-01-14 16:25:24,asc seminar,1,0,1
2023-01-14 16:57:02,asc curs,1,0,1
2023-01-14 18:08:19,asc curs,1,0,1
2023-01-14 20:12:36,asc seminar,1,0,1
2023-01-14 20:38:00,asc seminar,1,0,1
2023-01-14 21:00:44,asc seminar,1,0,1
2023-01-16 13:45:40,reward game exec,1,0,1
2023-01-16 14:29:09,asc seminar,1,0,1
2023-01-16 14:54:20,asc seminar,1,0,1
